"mep_id","CRE","WDECL","COMPARL","REPORT","REPORT_SHADOW","COMPARL_SHADOW","MOTION","OQ","WEXP","WQ","MINT","IMOTION","PRUNACT"
840,82,0,11,5,0,0,9,5,0,24,0,2,0
1394,2,0,0,0,0,0,7,0,1,2,0,0,0
1854,9,0,0,3,0,0,3,2,1,0,0,0,0
1892,7,0,1,0,0,0,1,0,379,12,0,0,0
1909,48,0,3,10,0,0,11,8,0,6,0,0,0
1913,16,0,0,0,0,0,8,2,3,11,0,0,0
1917,72,0,1,11,0,0,20,2,0,11,0,0,0
1927,91,0,1,2,0,0,8,5,1,7,0,0,0
1992,12,0,0,0,0,0,4,2,0,26,0,0,0
2054,538,0,2,10,0,0,111,11,0,37,0,0,0
2187,60,0,14,0,0,0,40,2,0,69,0,0,0
2309,16,0,0,0,0,0,0,0,0,5,0,1,0
2323,767,0,0,2,0,0,4,2,1,1,0,0,0
2341,122,0,7,7,0,0,365,2,2,11,0,0,0
4246,632,0,0,4,0,0,1,0,6,17,0,0,0
4253,64,0,0,1,0,0,357,11,67,112,0,0,0
4267,47,0,3,1,0,0,3,1,5,6,0,0,0
4289,78,0,1,1,0,0,3,4,7,22,0,0,0
4344,122,0,0,8,0,0,327,7,4,122,1,0,0
4391,0,0,0,0,0,0,0,0,0,16,0,0,0
4465,37,0,1,0,0,0,181,2,0,89,0,2,0
4513,12,0,0,0,0,0,5,0,2,0,0,0,0
4519,11,0,0,0,0,0,5,0,7,4,0,0,0
4525,6,0,0,0,0,0,0,0,0,0,0,0,0
4533,17,0,0,0,0,0,0,0,0,1,0,0,0
4550,1,0,0,0,0,0,0,0,0,0,0,0,0
4554,5,0,0,1,0,0,8,0,0,3,0,0,0
4555,14,0,0,0,0,0,0,0,0,0,0,0,0
4560,63,0,3,4,0,0,2,2,0,35,0,0,0
4746,5,0,0,0,0,0,11,2,68,90,0,4,0
5392,47,0,0,3,0,0,4,4,12,17,0,0,0
5565,0,0,0,0,0,0,0,2,520,19,0,0,0
5729,86,0,0,1,0,0,7,4,6,55,0,0,0
22858,72,0,0,8,0,0,17,5,169,43,0,1,0
23699,97,0,0,2,0,0,17,16,81,80,0,0,0
23712,36,0,0,1,0,0,77,1,0,3,0,0,0
23768,19,0,0,2,0,0,2,3,0,6,0,0,0
23781,26,0,0,5,0,0,0,1,0,4,0,0,0
23788,101,0,4,2,0,0,352,4,50,9,0,0,0
23816,59,0,0,0,0,0,2,2,361,11,0,0,0
23821,8,0,0,1,0,0,0,1,72,5,0,0,0
23868,19,0,0,0,0,0,4,6,506,75,0,0,0
24505,74,0,1,1,0,0,30,3,683,81,0,4,0
24594,54,0,1,0,0,0,1,3,408,73,0,0,0
24922,23,0,6,3,0,0,0,11,289,151,0,1,0
24942,104,0,1,0,0,0,9,0,1,69,0,0,0
26837,100,0,1,12,0,0,79,0,710,146,0,1,0
27714,135,0,1,0,0,0,5,8,584,35,0,2,0
28115,141,0,1,0,0,0,2,1,146,6,0,0,0
28122,29,0,0,2,0,0,4,2,47,9,0,0,0
28141,83,0,1,0,0,0,1,1,35,13,0,0,0
28150,107,0,0,0,0,0,7,3,557,35,0,0,0
28161,38,0,1,0,0,0,10,6,3,74,1,1,0
28219,34,0,0,5,0,0,15,0,4,19,0,0,0
28223,60,0,4,7,0,0,7,4,0,25,0,0,0
28224,41,0,0,4,0,0,4,0,0,12,0,0,0
28226,39,0,9,6,0,0,10,2,0,39,0,0,0
28229,111,0,0,0,0,0,20,0,2,0,0,0,0
28266,155,0,1,5,0,0,39,11,0,168,0,0,0
28269,27,0,1,1,0,0,47,2,0,15,0,0,0
28288,44,0,2,7,0,0,6,3,0,2,0,0,0
28294,48,0,0,0,0,0,1,2,0,16,0,1,0
28297,12,0,1,0,0,0,91,5,0,24,0,0,0
28298,180,0,0,0,0,0,40,0,175,9,0,0,0
28340,62,0,5,0,0,0,0,3,0,106,0,2,0
28346,13,0,0,0,0,0,0,0,0,10,0,2,0
28347,64,0,0,3,0,0,6,0,0,41,0,0,0
28353,169,0,1,1,0,0,394,6,9,73,0,0,0
28372,130,0,0,69,0,0,296,4,0,4,0,1,0
28389,75,0,2,0,0,0,96,4,0,22,0,1,0
28390,44,0,0,1,0,0,8,2,0,35,0,0,0
28399,57,0,0,2,0,0,260,1,211,76,0,0,0
28400,118,0,0,0,0,0,39,2,6,148,0,1,0
28429,6,0,0,1,0,0,0,0,0,10,0,1,0
28508,6,0,0,0,0,0,2,0,0,0,0,0,0
28586,289,0,1,1,0,0,49,7,15,191,0,1,0
28615,308,0,2,3,0,0,71,4,62,2,0,0,0
28617,4,0,1,1,0,0,225,1,1,15,0,0,0
28619,57,0,1,0,0,0,0,1,3,14,0,1,0
29579,47,0,1,0,0,0,6,1,6,22,0,0,0
30482,82,0,5,13,0,0,34,20,27,42,0,1,0
30490,3,0,0,0,0,0,0,0,1,19,0,0,0
33982,55,0,4,5,0,0,30,7,154,64,0,0,0
33997,15,0,2,2,0,0,4,4,20,10,0,0,0
34578,146,0,2,1,0,0,3,8,1146,31,0,1,0
35016,58,0,1,1,0,0,24,9,93,201,0,15,0
36392,0,0,0,0,0,0,0,0,125,73,0,1,0
37229,66,0,0,1,0,0,116,3,5,14,0,0,0
37312,97,0,1,1,0,0,11,7,267,42,0,0,0
37324,3,0,1,0,0,0,0,1,0,0,0,1,0
38398,46,0,1,3,0,0,26,2,1,40,0,0,0
38420,78,0,3,9,0,0,31,18,62,20,0,0,0
38511,31,0,1,0,0,0,5,2,1270,176,0,6,0
38542,32,0,2,0,0,0,6,2,88,17,0,0,0
38595,68,0,2,1,0,0,11,3,140,23,0,0,0
39725,24,0,3,2,0,0,8,3,33,23,0,0,0
40599,103,0,2,4,0,0,51,17,0,107,0,0,1
58766,112,0,2,3,0,0,303,6,62,71,0,0,0
58789,34,0,1,2,0,0,3,4,60,39,0,0,0
72779,5,0,0,0,0,0,1,1,1676,21,0,0,0
86793,76,0,4,3,0,0,79,9,1,56,0,1,0
88715,104,0,0,2,0,0,44,13,748,146,0,1,0
88882,170,0,5,5,0,0,7,4,1186,84,0,0,0
94649,26,0,0,0,0,0,4,11,745,82,0,14,0
95074,112,0,1,6,0,0,22,5,2,44,0,0,0
96646,94,0,6,3,0,0,28,9,3,25,0,0,0
96648,93,0,0,0,0,0,17,3,0,16,0,0,0
96653,71,0,0,0,0,0,0,3,143,13,0,0,0
96668,420,0,4,4,0,0,130,3,554,43,0,0,0
96681,80,0,1,2,0,0,11,4,1498,78,0,0,0
96697,53,0,0,0,0,0,279,2,59,17,0,5,0
96698,3,0,0,0,0,0,19,7,1001,93,0,38,0
96706,80,0,1,3,0,0,6,4,582,143,0,0,0
96709,30,0,9,1,0,0,2,3,40,27,0,0,0
96711,44,0,45,7,0,0,15,13,0,16,0,0,0
96713,9,0,0,0,0,0,36,0,3,15,0,0,0
96725,97,0,2,5,0,0,26,4,3,41,1,0,0
96730,47,0,0,3,0,0,18,8,0,31,1,0,0
96734,51,0,0,0,0,0,13,1,0,22,0,0,0
96739,113,0,0,2,0,0,64,4,1,28,0,1,0
96740,29,0,0,1,0,0,42,3,1,33,0,2,0
96743,38,0,5,3,0,0,44,12,0,105,0,3,0
96747,22,0,0,2,0,0,0,4,2,2,0,0,0
96750,40,0,1,1,0,0,22,4,0,61,0,1,0
96752,38,0,2,1,0,0,38,4,1,32,1,0,0
96756,30,0,13,4,0,0,12,9,1,37,0,0,0
96761,12,0,11,5,0,0,3,1,2,9,0,0,0
96771,8,0,0,0,0,0,0,5,5,13,0,0,0
96772,26,0,1,3,0,0,3,0,7,20,0,0,0
