"UserID","full","sur","family","Photo","active","date","place","Gender","CV"
2307,"Hubert PIRKER","Hubert","PIRKER","https://www.europarl.europa.eu/mepphoto/2307.jpg",FALSE,"1948-10-03T00:00:00","Gries","M","Mag.phil, PhD, Professor of Education at the Carinthia College of Education., Member of the European Parliament (since 4 April 2011); 1 February 2006 to 2009 and 1996 to 2004)., Transport and security spokesman, ÖVP Delegation, European Parliament;, security spokesman, ÖVP Delegation, European Parliament (2006-2009); security spokesman (coordinator), EPP Group (1999-2004); Deputy Head of ÖVP Delegation, European Parliament (1996-2004);, Chair of the European Parliament Delegation for relations with the Korean Peninsula (2006-2009)., Chair of the Initiative against Organized Crime (Stability Pact for South-East Europe) (2004-2006)., Member of the Austrian Parliament (1990-1994)., Regional Chair of the Austrian Employees' Federation(ÖAAB), Carinthia (1989-2009); Regional Party Chair, ÖVP Carinthia (2004-2009); ÖVP spokesman on security (1990-1994); ÖVP spokesman on EU security (1994-1996)., Grand Gold Decoration with Ribbon for Services to the Republic of Austria."
111496,"María Auxiliadora CORREA ZAMORA","María Auxiliadora","CORREA ZAMORA","https://www.europarl.europa.eu/mepphoto/111496.jpg",FALSE,"1972-05-24T00:00:00","Badajoz","F",""
110987,"Gino TREMATERRA","Gino","TREMATERRA","https://www.europarl.europa.eu/mepphoto/110987.jpg",FALSE,"1940-09-03T00:00:00","Cosenza","M","Degree in chartered accountancy. Employee at the INPS (Italian national insurance fund) member of the Committee on recognition of occupational diseases of workers assigned to naval service, representing the Ministry of the Merchant Navy; member of the board of statutory auditors of various companies (1967-1998)., Administrative secretary for the Centre Democratic Union (UDC) parliamentary group in the Senate during the 14th legislature (2001-2006); UDC Regional secretary in Calabria (2004-2006); UDC national official responsible for issues affecting Italians abroad (2004-2010); Head of the technical secretariat of the UDC National Secretariat (2008-2011) UDC Regional administrator - Calabria; official responsible for the UDC national election office (2010-2011) Christian Democratic International delegate at the Chile congress (2000)., Mayor of Acri (Cosenza) (2009). Member of Calabria Regional Council (1995-2000 and 2001-2002); Regional councillor responsible for employment, vocational training and law No 2 (1995-2000); Regional councillor responsible for local organisations, budget and trade (1995-1998); National coordinator of regional councillors responsible for employment training (1996-1998). Head of the UDC Group in the 11th Standing Committee - Employment and Social Security (Senate), during the 14th legislature (2001-2006); member of the 8th Standing Committee - Public Works and Communications (Senate), in the 15th legislature (2006-2008)."
1965,"Jan MULDER","Jan","MULDER","https://www.europarl.europa.eu/mepphoto/1965.jpg",FALSE,"1943-10-03T00:00:00","Diever","M","Agricultural engineer (1970)., Assistant FAO expert and subsequently FAO expert in Kenya (1970-1975). Official of the Ministry of Foreign Affairs, The Hague (1975-1976). Official of the European Commission, Brussels (1976-1994)., Chairman of the VVD Brussels section (1977-1988)., Member of the European Parliament (since 1994)."
39321,"Vicente Miguel GARCÉS RAMÓN","Vicente Miguel","GARCÉS RAMÓN","https://www.europarl.europa.eu/mepphoto/39321.jpg",FALSE,"1946-11-10T00:00:00","Llíria (Valencia)","M",""
108570,"Amelia ANDERSDOTTER","Amelia","ANDERSDOTTER","https://www.europarl.europa.eu/mepphoto/108570.jpg",FALSE,"1987-08-30T00:00:00","Uppsala","F",""
110365,"Kent JOHANSSON","Kent","JOHANSSON","https://www.europarl.europa.eu/mepphoto/110365.jpg",FALSE,"1951-12-27T00:00:00","Händene","M",""
105849,"Agnès LE BRUN","Agnès","LE BRUN","https://www.europarl.europa.eu/mepphoto/105849.jpg",FALSE,"1961-12-28T00:00:00","Chaumont en Vexin","F",""
5537,"Juan Andrés NARANJO ESCOBAR","Juan Andrés","NARANJO ESCOBAR","https://www.europarl.europa.eu/mepphoto/5537.jpg",FALSE,"1952-01-04T00:00:00","Ciudad Real","M","Graduate in humanities (Spanish), Complutense University, Madrid (1976). Post-graduate diploma from the Institute of Education, Complutense University (1977). Master's in sociology and human resources, Pontificia University (1982)., Deputy director of the Juan Valdés Institute (1983). Lecturer at the Seminario Conciliar, Madrid (1982-1989). Guest faculty member in the Spanish department, Menéndez y Pelayo University (1983-1989)., Chairman of the Madrid Partido Popular Election Committee (1996). Technical adviser on cultural matters to Madrid City Council (1992). Adviser to the Madrid European Capital of Culture consortium (1992)., Member of the Madrid Assembly (1995-1996). Head of the private office of the First Deputy Prime Minister of Spain (1996-1999). Member of the European Parliament (1999-2004)."
111017,"Dolores GARCÍA-HIERRO CARABALLO","Dolores","GARCÍA-HIERRO CARABALLO","https://www.europarl.europa.eu/mepphoto/111017.jpg",FALSE,"1958-05-16T00:00:00","Urda (Toledo)","F",""
