"UserID","full","sur","family","Photo","active","date","place","Gender"
97136,"Indrek TARAND","Indrek","TARAND","https://www.europarl.europa.eu/mepphoto/97136.jpg",FALSE,"1964-02-03T00:00:00","Tallinn","M"
28389,"Zbigniew KUŹMIUK","Zbigniew","KUŹMIUK","https://www.europarl.europa.eu/mepphoto/28389.jpg",FALSE,"1956-09-19T00:00:00","Komorowo","M"
1909,"Bernd LANGE","Bernd","LANGE","https://www.europarl.europa.eu/mepphoto/1909.jpg",TRUE,"1955-11-14T00:00:00","Oldenburg","M"
111011,"Anthea McINTYRE","Anthea","McINTYRE","https://www.europarl.europa.eu/mepphoto/111011.jpg",FALSE,"1954-06-29T00:00:00","London","F"
124816,"Julia REDA","Julia","REDA","https://www.europarl.europa.eu/mepphoto/124816.jpg",FALSE,"1986-11-30T00:00:00","Bonn","F"
1185,"Viviane REDING","Viviane","REDING","https://www.europarl.europa.eu/mepphoto/1185.jpg",FALSE,"1951-04-27T00:00:00","Esch-sur-Alzette","F"
96920,"Kay SWINBURNE","Kay","SWINBURNE","https://www.europarl.europa.eu/mepphoto/96920.jpg",FALSE,"1967-06-08T00:00:00",NA,"F"
96931,"Maurice PONGA","Maurice","PONGA","https://www.europarl.europa.eu/mepphoto/96931.jpg",FALSE,"1947-06-05T00:00:00","Kouaoua (Nouvelle-Calédonie)","M"
125025,"Marcel de GRAAFF","Marcel","de GRAAFF","https://www.europarl.europa.eu/mepphoto/125025.jpg",TRUE,"1962-04-07T00:00:00","Rotterdam","M"
107041,"Heinz K. BECKER","Heinz K.","BECKER","https://www.europarl.europa.eu/mepphoto/107041.jpg",FALSE,"1950-06-29T00:00:00","Baden bei Wien","M"
96790,"Marek Józef GRÓBARCZYK","Marek Józef","GRÓBARCZYK","https://www.europarl.europa.eu/mepphoto/96790.jpg",FALSE,"1968-03-13T00:00:00","Nowy Sącz","M"
124943,"Andrew LEWER","Andrew","LEWER","https://www.europarl.europa.eu/mepphoto/124943.jpg",FALSE,"1971-07-18T00:00:00","Burnley","M"
28288,"Jan OLBRYCHT","Jan","OLBRYCHT","https://www.europarl.europa.eu/mepphoto/28288.jpg",TRUE,"1952-09-21T00:00:00","Rybnik","M"
28225,"Herbert REUL","Herbert","REUL","https://www.europarl.europa.eu/mepphoto/28225.jpg",FALSE,"1952-08-31T00:00:00","Langenfeld","M"
28240,"Helga TRÜPEL","Helga","TRÜPEL","https://www.europarl.europa.eu/mepphoto/28240.jpg",FALSE,"1958-07-21T00:00:00","Moers","F"
125020,"Paul TANG","Paul","TANG","https://www.europarl.europa.eu/mepphoto/125020.jpg",TRUE,"1967-04-23T00:00:00","Haarlem","M"
124737,"Maria João RODRIGUES","Maria João","RODRIGUES","https://www.europarl.europa.eu/mepphoto/124737.jpg",FALSE,"1955-09-25T00:00:00","Lisboa","F"
124875,"Anders VISTISEN","Anders","VISTISEN","https://www.europarl.europa.eu/mepphoto/124875.jpg",TRUE,"1987-11-12T00:00:00","Viborg","M"
28301,"Tadeusz ZWIEFKA","Tadeusz","ZWIEFKA","https://www.europarl.europa.eu/mepphoto/28301.jpg",FALSE,"1954-12-28T00:00:00","Tuchola","M"
124937,"Peter ERIKSSON","Peter","ERIKSSON","https://www.europarl.europa.eu/mepphoto/124937.jpg",FALSE,"1958-08-03T00:00:00","Säby","M"
