"UserID","full","sur","family","Photo","active","date","place","Gender","Education (qualifications and diplomas)"
197811,"Shaffaq MOHAMMED","Shaffaq","MOHAMMED","https://www.europarl.europa.eu/mepphoto/197811.jpg",FALSE,"1972-07-21T00:00:00","Mirpur","M",""
197704,"Brian MONTEITH","Brian","MONTEITH","https://www.europarl.europa.eu/mepphoto/197704.jpg",FALSE,"1958-01-08T00:00:00","Edinburgh","M",""
197711,"Dolors MONTSERRAT","Dolors","MONTSERRAT","https://www.europarl.europa.eu/mepphoto/197711.jpg",TRUE,"1973-09-18T00:00:00","Barcelona","F","Graduate in law, Abat Oliba CEU University (Barcelona), Studied final year of law degree at the Università degli Studi di Ferrara (Italy) under the ERASMUS programme, Master’s degree from the School of Legal Practice of the Barcelona Bar Association, Community Agricultural Law Programme at the Università degli Studi di Ferrara (Italy), Postgraduate degree in Urban and Real Estate Law from the Pompeu Fabra University (Barcelona), Postgraduate course in Family Mediation and Contract Negotiation, University of Barcelona, Programme in Real Estate and Urban Planning Law, ESADE, Programme in Real Estate Management, IESE, Orientation Course in the United States (Memphis, Tennessee), Studied basic German at the University of Freiburg (Germany)"
197427,"Marlene MORTLER","Marlene","MORTLER","https://www.europarl.europa.eu/mepphoto/197427.jpg",TRUE,"1955-10-16T00:00:00","Lauf","F",""
197647,"Dan-Ştefan MOTREANU","Dan-Ştefan","MOTREANU","https://www.europarl.europa.eu/mepphoto/197647.jpg",TRUE,"1970-09-11T00:00:00","Orastie","M","1995 : Graduate Diploma in Philosophy and History, West University of Timişoara, 1998 : Development of Entrepreneurship Skills, University of Neuchâtel – Romanian Swiss Entrepreneurship Foundation, 1998-1999 : Management of European Funds course, European Commission, 2001 : Diploma in Public Administration Management, Babeş-Bolyai University, Cluj-Napoca, 2005 : National Defence College"
197541,"Andżelika Anna MOŻDŻANOWSKA","Andżelika Anna","MOŻDŻANOWSKA","https://www.europarl.europa.eu/mepphoto/197541.jpg",TRUE,"1975-03-20T00:00:00","Kępno","F",""
197603,"June Alison MUMMERY","June Alison","MUMMERY","https://www.europarl.europa.eu/mepphoto/197603.jpg",FALSE,"1964-01-30T00:00:00","Lowestoft","F",""
197604,"Lucy NETHSINGHA","Lucy","NETHSINGHA","https://www.europarl.europa.eu/mepphoto/197604.jpg",FALSE,"1973-02-06T00:00:00","Southampton","F",""
197464,"Hannah NEUMANN","Hannah","NEUMANN","https://www.europarl.europa.eu/mepphoto/197464.jpg",TRUE,"1984-04-03T00:00:00","Speyer","F","2008-2013 : PhD in Politics and Peace and Conflict Studies, Free University of Berlin in cooperation with the University of Liberia and Notre Dame University Cotabato (Philippines), 2009-2012 : Project leader for the research project ‘Peacebuilding als Suche nach dem, was ist’ (Peacebuilding as a search for what is), University of Oldenburg, University of Liberia, Notre Dame University at Cotobato, 2008-2012 : Master’s degree in political science with a focus on international relations, 2002-2007 : Degree in applied media studies, Ilmenau University of Technology"
197465,"Niklas NIENASS","Niklas","NIENASS","https://www.europarl.europa.eu/mepphoto/197465.jpg",TRUE,"1992-04-14T00:00:00","Marl","M",""
197802,"Ville NIINISTÖ","Ville","NIINISTÖ","https://www.europarl.europa.eu/mepphoto/197802.jpg",TRUE,"1976-07-30T00:00:00",NA,"M","1996-2003 : Master’s degree in Political Science and Political History, University of Turku, 1992-1995 : Student, Kaarina High School"
197734,"Lefteris NIKOLAOU-ALAVANOS","Lefteris","NIKOLAOU-ALAVANOS","https://www.europarl.europa.eu/mepphoto/197734.jpg",TRUE,"1985-02-07T00:00:00","Athens","M",""
197889,"Grace O'SULLIVAN","Grace","O'SULLIVAN","https://www.europarl.europa.eu/mepphoto/197889.jpg",TRUE,"1962-03-08T00:00:00","Waterford","F",""
197542,"Janina OCHOJSKA","Janina","OCHOJSKA","https://www.europarl.europa.eu/mepphoto/197542.jpg",TRUE,"1955-03-12T00:00:00","Gdánsk","F","1974-1980 : Master’s degree in astronomy, Nicolaus Copernicus University, Toruń"
197432,"Jan-Christoph OETJEN","Jan-Christoph","OETJEN","https://www.europarl.europa.eu/mepphoto/197432.jpg",TRUE,"1978-02-21T00:00:00","Rotenburg (Wümme)","M","1999-2003 : Studied economics (course not completed)"
197838,"Juozas OLEKAS","Juozas","OLEKAS","https://www.europarl.europa.eu/mepphoto/197838.jpg",TRUE,"1955-10-30T00:00:00","Mazas Ungutas","M",""
197687,"Philippe OLIVIER","Philippe","OLIVIER","https://www.europarl.europa.eu/mepphoto/197687.jpg",TRUE,"1961-08-30T00:00:00","Juvisy sur Orge","M",""
197712,"Henrik OVERGAARD NIELSEN","Henrik","OVERGAARD NIELSEN","https://www.europarl.europa.eu/mepphoto/197712.jpg",FALSE,"1959-08-02T00:00:00","Frederiksberg","M",""
99283,"Alessandro PANZA","Alessandro","PANZA","https://www.europarl.europa.eu/mepphoto/99283.jpg",TRUE,"1982-05-15T00:00:00","Domodossola","M",""
