"UserID","Term_1","Term_2","Term_3","Term_4","Term_5","Term_6","Term_7","Term_8","Term_9"
2307,NA,NA,NA,980,1826,1258,1187,NA,NA
111496,NA,NA,NA,NA,NA,NA,899,NA,NA
110987,NA,NA,NA,NA,NA,NA,942,NA,NA
1965,NA,NA,NA,1826,1826,1819,1469,NA,NA
39321,NA,NA,NA,NA,NA,655,942,NA,NA
108570,NA,NA,NA,NA,NA,NA,942,NA,NA
110365,NA,NA,NA,NA,NA,NA,983,NA,NA
105849,NA,NA,NA,NA,NA,NA,1276,NA,NA
5537,NA,NA,NA,NA,1764,462,899,NA,NA
111017,NA,NA,NA,NA,NA,NA,942,NA,NA
111018,NA,NA,NA,NA,NA,NA,938,NA,NA
111019,NA,NA,NA,NA,NA,NA,942,NA,NA
96946,NA,NA,NA,NA,NA,NA,460,NA,NA
124782,NA,NA,NA,NA,NA,NA,NA,NA,NA
2131,NA,NA,NA,1826,NA,NA,NA,NA,NA
4388,NA,NA,NA,NA,1826,NA,NA,NA,NA
41003,NA,NA,NA,NA,NA,31,NA,NA,NA
941,NA,1826,1645,NA,NA,NA,NA,NA,NA
2195,NA,NA,NA,1826,NA,NA,NA,NA,NA
110984,NA,NA,NA,NA,NA,NA,942,NA,NA
111033,NA,NA,NA,NA,NA,NA,461,215,NA
97344,NA,NA,NA,NA,NA,NA,1186,NA,NA
107977,NA,NA,NA,NA,NA,NA,1104,NA,NA
109649,NA,NA,NA,NA,NA,NA,1012,NA,NA
99416,NA,NA,NA,NA,NA,NA,1720,NA,NA
99419,NA,NA,NA,NA,NA,NA,1671,NA,NA
111068,NA,NA,NA,NA,NA,NA,936,NA,NA
103132,NA,NA,NA,NA,NA,NA,1469,NA,NA
105192,NA,NA,NA,NA,NA,NA,1322,NA,NA
39916,NA,NA,NA,NA,NA,NA,935,NA,NA
111026,NA,NA,NA,NA,NA,NA,166,NA,NA
23413,NA,NA,NA,NA,NA,NA,1174,NA,NA
108329,NA,NA,NA,NA,NA,NA,272,NA,NA
107386,NA,NA,NA,NA,NA,NA,1166,NA,NA
96850,NA,NA,NA,NA,NA,NA,1068,NA,NA
96659,NA,NA,NA,NA,NA,NA,1030,NA,NA
96750,NA,NA,NA,NA,NA,NA,1812,NA,2914817
96992,NA,NA,NA,NA,NA,NA,1489,NA,NA
96986,NA,NA,NA,NA,NA,NA,1812,NA,NA
1941,NA,NA,NA,1826,1826,1819,196,NA,NA
96702,NA,NA,NA,NA,NA,NA,1812,NA,NA
28422,NA,NA,NA,NA,NA,1819,174,NA,NA
28137,NA,NA,NA,NA,NA,1819,1036,NA,NA
97009,NA,NA,NA,NA,NA,NA,396,NA,NA
4537,NA,NA,NA,NA,1826,1819,1812,NA,NA
96862,NA,NA,NA,NA,NA,NA,399,NA,NA
33775,NA,NA,NA,NA,NA,1493,1812,NA,NA
96814,NA,NA,NA,NA,NA,NA,1812,NA,NA
5956,NA,NA,NA,NA,1417,NA,1812,NA,NA
23866,NA,NA,NA,NA,79,1819,1812,NA,NA
96846,NA,NA,NA,NA,NA,NA,1253,NA,NA
96738,NA,NA,NA,NA,NA,NA,1812,NA,NA
96732,NA,NA,NA,NA,NA,NA,54,NA,NA
28214,NA,NA,NA,NA,NA,1819,1812,NA,NA
4746,NA,NA,NA,NA,1826,1819,203,NA,2914603
28174,NA,NA,NA,NA,NA,1819,1812,NA,NA
23788,NA,NA,NA,NA,79,1819,160,NA,2913189
97021,NA,NA,NA,NA,NA,NA,1,NA,NA
2202,NA,NA,NA,1826,NA,NA,NA,NA,NA
1380,NA,679,1819,NA,NA,NA,NA,NA,NA
33964,NA,NA,NA,NA,NA,254,NA,NA,NA
2107,NA,NA,NA,1379,1826,1819,NA,NA,NA
1817,NA,1350,1819,1826,399,NA,NA,NA,NA
2006,NA,NA,NA,1826,1826,NA,NA,NA,NA
4547,NA,NA,NA,NA,1826,1496,NA,NA,NA
119439,NA,NA,NA,NA,NA,NA,364,NA,NA
23814,NA,NA,NA,NA,79,NA,NA,NA,NA
1773,1833,1826,NA,NA,NA,NA,NA,NA,NA
33967,NA,NA,NA,NA,NA,342,NA,NA,NA
1371,NA,679,876,1826,NA,NA,NA,NA,NA
1135,NA,1826,1294,199,NA,NA,NA,NA,NA
1759,NA,1427,NA,472,NA,NA,708,NA,NA
1429,NA,1826,1819,NA,1826,1819,NA,NA,NA
2204,NA,NA,NA,429,609,NA,NA,NA,NA
112014,NA,NA,NA,NA,NA,NA,875,NA,213
96947,NA,NA,NA,NA,NA,NA,744,NA,NA
1281,NA,NA,1819,1826,NA,NA,NA,NA,NA
2217,NA,NA,NA,1826,1334,NA,NA,NA,NA
96699,NA,NA,NA,NA,NA,NA,1812,NA,NA
1451,1833,1826,1819,NA,NA,NA,NA,NA,NA
1776,1833,1826,NA,NA,NA,NA,NA,NA,NA
38724,NA,NA,NA,NA,NA,755,NA,NA,NA
1714,1833,1665,NA,NA,NA,NA,NA,NA,NA
2250,NA,NA,NA,1826,NA,NA,NA,NA,NA
893,1559,434,NA,NA,NA,NA,NA,NA,NA
2196,NA,NA,NA,1826,NA,NA,NA,NA,NA
1666,NA,1826,NA,NA,NA,NA,NA,NA,NA
2153,NA,NA,NA,741,NA,NA,NA,NA,NA
72754,NA,NA,NA,NA,NA,30,NA,137,NA
38610,NA,NA,NA,NA,NA,593,161,NA,NA
96650,NA,NA,NA,NA,NA,NA,1491,NA,NA
28513,NA,NA,NA,NA,NA,1819,1812,NA,NA
39722,NA,NA,NA,NA,NA,461,107,NA,NA
96878,NA,NA,NA,NA,NA,NA,248,NA,NA
29074,NA,NA,NA,NA,NA,397,158,NA,NA
96916,NA,NA,NA,NA,NA,NA,1812,NA,NA
96799,NA,NA,NA,NA,NA,NA,1812,NA,NA
33570,NA,NA,NA,NA,NA,1523,1812,NA,NA
28171,NA,NA,NA,NA,NA,1819,1812,NA,NA
96662,NA,NA,NA,NA,NA,NA,1560,NA,NA
28463,NA,NA,NA,NA,NA,1819,1296,NA,NA
28354,NA,NA,NA,NA,NA,1819,393,NA,NA
96749,NA,NA,NA,NA,NA,NA,506,NA,NA
28120,NA,NA,NA,NA,NA,1819,1361,NA,NA
4532,NA,NA,NA,NA,1826,1819,1812,NA,NA
28148,NA,NA,NA,NA,NA,1819,1812,NA,NA
96719,NA,NA,NA,NA,NA,NA,1812,NA,NA
28243,NA,NA,NA,NA,NA,1819,1812,NA,NA
2097,NA,NA,NA,1826,1826,1819,1812,NA,NA
24030,NA,NA,NA,NA,399,1701,1812,NA,NA
28493,NA,NA,NA,NA,NA,1819,1812,NA,NA
96726,NA,NA,NA,NA,NA,NA,1812,NA,NA
96987,NA,NA,NA,NA,NA,NA,1812,NA,NA
96873,NA,NA,NA,NA,NA,NA,1812,NA,NA
96786,NA,NA,NA,NA,NA,NA,817,NA,NA
97125,NA,NA,NA,NA,NA,NA,1801,NA,NA
4342,NA,NA,NA,NA,595,1819,1812,NA,NA
96973,NA,NA,NA,NA,NA,NA,1812,NA,NA
4554,NA,NA,NA,NA,1826,1819,1812,NA,213
96887,NA,NA,NA,NA,NA,NA,1812,NA,NA
28256,NA,NA,NA,NA,NA,1819,1766,NA,NA
96914,NA,NA,NA,NA,NA,NA,1812,NA,NA
1289,NA,NA,927,NA,1826,1819,932,NA,NA
4514,NA,NA,NA,NA,1826,1819,1812,NA,NA
96639,NA,NA,NA,NA,NA,NA,1812,NA,NA
96717,NA,NA,NA,NA,NA,NA,1812,NA,NA
39769,NA,NA,NA,NA,NA,NA,370,NA,NA
25718,NA,NA,NA,NA,286,1819,1812,NA,NA
96676,NA,NA,NA,NA,NA,NA,1812,NA,NA
28310,NA,NA,NA,NA,NA,1819,1812,NA,NA
96977,NA,NA,NA,NA,NA,NA,1812,NA,NA
96810,NA,NA,NA,NA,NA,NA,129,NA,2914817
4385,NA,NA,NA,NA,1826,1819,1812,NA,NA
96908,NA,NA,NA,NA,NA,NA,1812,NA,NA
2125,NA,NA,NA,1826,1063,NA,1812,NA,NA
96896,NA,NA,NA,NA,NA,NA,511,NA,NA
1665,NA,749,NA,1826,1826,1819,1812,NA,NA
28193,NA,NA,NA,NA,NA,1819,1812,NA,NA
1902,NA,NA,NA,1826,1826,1819,1812,NA,NA
28145,NA,NA,NA,NA,NA,1819,1812,NA,NA
97004,NA,NA,NA,NA,NA,NA,1812,NA,NA
96832,NA,NA,NA,NA,NA,NA,1812,NA,NA
28123,NA,NA,NA,NA,NA,1819,1337,NA,NA
96953,NA,NA,NA,NA,NA,NA,1068,NA,NA
96745,NA,NA,NA,NA,NA,NA,1812,NA,NA
96751,NA,NA,NA,NA,NA,NA,1812,NA,NA
4326,NA,NA,NA,NA,1826,1819,1812,NA,NA
96758,NA,NA,NA,NA,NA,NA,1812,NA,NA
28477,NA,NA,NA,NA,NA,1819,1812,NA,NA
96707,NA,NA,NA,NA,NA,NA,1812,NA,NA
28321,NA,NA,NA,NA,NA,1819,1812,NA,NA
1914,NA,NA,NA,1826,1826,1819,1812,NA,NA
96714,NA,NA,NA,NA,NA,NA,1090,NA,NA
28215,NA,NA,NA,NA,NA,1819,1812,NA,NA
28155,NA,NA,NA,NA,NA,1819,1812,NA,NA
28117,NA,NA,NA,NA,NA,1819,1812,NA,NA
96950,NA,NA,NA,NA,NA,NA,1812,NA,NA
1407,NA,1826,1819,1826,1826,1819,1812,NA,NA
96818,NA,NA,NA,NA,NA,NA,203,NA,NA
28125,NA,NA,NA,NA,NA,1819,1812,NA,NA
34235,NA,NA,NA,NA,NA,155,1812,NA,NA
96693,NA,NA,NA,NA,NA,NA,1812,NA,NA
97130,NA,NA,NA,NA,NA,NA,593,NA,NA
28313,NA,NA,NA,NA,NA,1819,960,NA,NA
96782,NA,NA,NA,NA,NA,NA,1812,NA,NA
28291,NA,NA,NA,NA,NA,1819,1812,NA,NA
28156,NA,NA,NA,NA,NA,1819,1611,NA,NA
23691,NA,NA,NA,NA,378,1819,1812,NA,NA
96807,NA,NA,NA,NA,NA,NA,1812,NA,NA
25919,NA,NA,NA,NA,248,221,1812,NA,NA
34231,NA,NA,NA,NA,NA,768,1812,NA,NA
1929,NA,NA,NA,1826,1826,1819,1812,NA,NA
96769,NA,NA,NA,NA,NA,NA,1812,NA,NA
28241,NA,NA,NA,NA,NA,1819,1812,NA,NA
39319,NA,NA,NA,NA,NA,651,1812,NA,NA
4260,NA,NA,NA,NA,1146,1819,1812,NA,NA
97011,NA,NA,NA,NA,NA,NA,1812,NA,NA
23873,NA,NA,NA,NA,79,1819,102,NA,NA
96704,NA,NA,NA,NA,NA,NA,1812,NA,NA
28247,NA,NA,NA,NA,NA,1819,1812,NA,NA
4482,NA,NA,NA,NA,1826,1819,1812,NA,NA
1935,NA,NA,NA,1826,1362,1819,1812,NA,NA
23746,NA,NA,NA,NA,79,1819,1812,NA,NA
4283,NA,NA,NA,NA,1826,1819,976,NA,NA
28162,NA,NA,NA,NA,NA,1819,1036,NA,NA
2224,NA,NA,NA,1826,1826,1819,1690,NA,NA
96675,NA,NA,NA,NA,NA,NA,1812,93,NA
942,1833,NA,1819,NA,NA,NA,NA,NA,NA
28246,NA,NA,NA,NA,NA,1819,1812,NA,NA
96976,NA,NA,NA,NA,NA,NA,1812,NA,NA
96954,NA,NA,NA,NA,NA,NA,489,NA,NA
936,803,NA,NA,NA,NA,NA,NA,NA,NA
97193,NA,NA,NA,NA,NA,NA,1812,NA,NA
1209,NA,1826,1819,1826,NA,NA,NA,NA,NA
96808,NA,NA,NA,NA,NA,NA,1812,41,2914817
97228,NA,NA,NA,NA,NA,NA,1320,NA,NA
4484,NA,NA,NA,NA,1826,NA,NA,NA,NA
28114,NA,NA,NA,NA,NA,1819,1812,NA,NA
28195,NA,NA,NA,NA,NA,1819,NA,NA,NA
23813,NA,NA,NA,NA,79,NA,1387,NA,NA
96757,NA,NA,NA,NA,NA,NA,206,NA,NA
96979,NA,NA,NA,NA,NA,NA,1812,NA,NA
1426,NA,1826,1819,1826,1826,NA,NA,NA,NA
1352,NA,749,1819,1826,1826,1819,NA,NA,NA
2022,NA,NA,NA,1826,NA,NA,NA,NA,NA
2285,NA,NA,NA,980,1826,214,NA,NA,NA
97156,NA,NA,NA,NA,NA,NA,1812,NA,NA
1366,1833,1826,1819,NA,NA,NA,NA,NA,NA
2021,NA,NA,NA,1826,NA,NA,NA,NA,NA
25421,NA,NA,NA,NA,320,NA,NA,NA,NA
1346,NA,749,1819,NA,NA,NA,NA,NA,NA
1717,NA,550,NA,NA,NA,NA,NA,NA,NA
1347,NA,749,1819,NA,NA,NA,NA,NA,NA
1749,NA,550,NA,NA,NA,NA,NA,NA,NA
912,1833,NA,NA,NA,NA,NA,NA,NA,NA
964,NA,NA,1819,1518,NA,NA,NA,NA,NA
1730,1833,1826,NA,NA,NA,NA,NA,NA,NA
1372,NA,679,368,NA,NA,NA,NA,NA,NA
2189,NA,NA,NA,1826,713,NA,NA,NA,NA
993,NA,NA,1294,NA,NA,NA,NA,NA,NA
4329,NA,NA,NA,NA,1826,NA,NA,NA,NA
1810,NA,749,NA,NA,NA,NA,NA,NA,NA
1373,NA,679,1819,NA,NA,NA,NA,NA,NA
968,272,NA,1103,NA,NA,NA,NA,NA,NA
2274,NA,NA,NA,1358,NA,NA,NA,NA,NA
1270,NA,NA,1819,NA,NA,NA,NA,NA,NA
28371,NA,NA,NA,NA,NA,434,NA,NA,NA
40817,NA,NA,NA,NA,NA,430,NA,NA,NA
1297,NA,NA,1819,NA,NA,NA,NA,NA,NA
1830,NA,NA,944,444,NA,NA,NA,NA,NA
28432,NA,NA,NA,NA,NA,72,NA,NA,NA
28203,NA,NA,NA,NA,NA,100,NA,NA,NA
1001,NA,NA,1819,732,NA,NA,NA,NA,NA
1279,NA,NA,1661,NA,NA,NA,NA,NA,NA
1465,NA,657,1593,NA,NA,NA,NA,NA,NA
28259,NA,NA,NA,NA,NA,1805,NA,NA,NA
2018,NA,NA,NA,1826,NA,NA,NA,NA,NA
4500,NA,NA,NA,NA,1826,1819,NA,NA,NA
28305,NA,NA,NA,NA,NA,1819,NA,NA,NA
1420,NA,1826,1819,1826,NA,NA,NA,NA,NA
2262,NA,NA,NA,1379,1826,NA,NA,NA,NA
4420,NA,NA,NA,NA,1826,NA,NA,NA,NA
433,659,1826,NA,NA,NA,NA,NA,NA,NA
1109,NA,NA,1294,199,NA,NA,NA,NA,NA
4413,NA,NA,NA,NA,1826,1819,NA,NA,NA
853,688,NA,NA,NA,NA,NA,NA,NA,NA
23804,NA,NA,NA,NA,79,1819,NA,NA,NA
4437,NA,NA,NA,NA,1826,NA,NA,NA,NA
40600,NA,NA,NA,NA,NA,462,NA,NA,NA
845,1833,NA,NA,NA,NA,NA,NA,NA,NA
1646,1833,1826,NA,NA,NA,NA,NA,NA,NA
28207,NA,NA,NA,NA,NA,362,NA,NA,NA
940,NA,NA,1705,NA,NA,NA,NA,NA,NA
2009,NA,NA,NA,1826,NA,NA,NA,NA,NA
96983,NA,NA,NA,NA,NA,NA,517,NA,NA
1984,NA,NA,NA,1052,NA,NA,NA,NA,NA
2115,NA,NA,NA,280,NA,NA,NA,NA,NA
1345,NA,749,1819,1826,NA,NA,NA,NA,NA
1636,1833,1166,NA,NA,NA,NA,NA,NA,NA
28199,NA,NA,NA,NA,NA,1819,NA,NA,NA
2030,NA,NA,NA,1826,NA,NA,NA,NA,NA
2186,NA,NA,NA,1826,1826,1155,NA,NA,NA
834,181,NA,NA,NA,NA,NA,NA,NA,NA
4279,NA,NA,NA,NA,1826,1819,NA,NA,NA
2008,NA,NA,NA,1826,1826,NA,NA,NA,NA
38609,NA,NA,NA,NA,NA,768,12,NA,NA
1120,NA,NA,1819,1826,NA,NA,NA,NA,NA
96708,NA,NA,NA,NA,NA,NA,898,NA,184
28236,NA,NA,NA,NA,NA,1819,NA,NA,NA
804,994,NA,NA,NA,NA,NA,NA,NA,NA
2310,NA,NA,NA,893,1826,NA,NA,NA,NA
281,364,NA,NA,NA,NA,NA,NA,NA,NA
796,721,NA,NA,NA,NA,NA,NA,NA,NA
34251,NA,NA,NA,NA,NA,155,NA,NA,NA
800,994,NA,NA,NA,NA,NA,NA,NA,NA
1628,NA,1826,NA,NA,NA,NA,NA,NA,NA
28492,NA,NA,NA,NA,NA,1819,NA,NA,NA
4378,NA,NA,NA,NA,688,NA,NA,NA,NA
4286,NA,NA,NA,NA,1826,NA,NA,NA,NA
2257,NA,NA,NA,488,NA,NA,NA,NA,NA
2225,NA,NA,NA,1826,1826,1819,NA,NA,NA
1919,NA,NA,NA,1826,1826,894,NA,NA,NA
