"UserID","full","sur","family","Photo","active","date","place","terms","first_start","last_end","first_cv"
2307,"Hubert PIRKER","Hubert","PIRKER","https://www.europarl.europa.eu/mepphoto/2307.jpg",FALSE,"1948-10-03T00:00:00","Gries","4-5-6-7","1996-11-11T00:00:00","2014-06-30T00:00:00","Mag.phil, PhD, Professor of Education at the Carinthia College of Education."
111496,"María Auxiliadora CORREA ZAMORA","María Auxiliadora","CORREA ZAMORA","https://www.europarl.europa.eu/mepphoto/111496.jpg",FALSE,"1972-05-24T00:00:00","Badajoz","7","2012-01-13T00:00:00","2014-06-30T00:00:00",NA
110987,"Gino TREMATERRA","Gino","TREMATERRA","https://www.europarl.europa.eu/mepphoto/110987.jpg",FALSE,"1940-09-03T00:00:00","Cosenza","7","2011-12-01T00:00:00","2014-06-30T00:00:00","Degree in chartered accountancy. Employee at the INPS (Italian national insurance fund) member of the Committee on recognition of occupational diseases of workers assigned to naval service, representing the Ministry of the Merchant Navy; member of the board of statutory auditors of various companies (1967-1998)."
1965,"Jan MULDER","Jan","MULDER","https://www.europarl.europa.eu/mepphoto/1965.jpg",FALSE,"1943-10-03T00:00:00","Diever","4-5-6-7","1994-07-19T00:00:00","2014-06-30T00:00:00","Agricultural engineer (1970)."
39321,"Vicente Miguel GARCÉS RAMÓN","Vicente Miguel","GARCÉS RAMÓN","https://www.europarl.europa.eu/mepphoto/39321.jpg",FALSE,"1946-11-10T00:00:00","Llíria (Valencia)","6-7","2007-09-27T00:00:00","2014-06-30T00:00:00",NA
108570,"Amelia ANDERSDOTTER","Amelia","ANDERSDOTTER","https://www.europarl.europa.eu/mepphoto/108570.jpg",FALSE,"1987-08-30T00:00:00","Uppsala","7","2011-12-01T00:00:00","2014-06-30T00:00:00",NA
110365,"Kent JOHANSSON","Kent","JOHANSSON","https://www.europarl.europa.eu/mepphoto/110365.jpg",FALSE,"1951-12-27T00:00:00","Händene","7","2011-10-21T00:00:00","2014-06-30T00:00:00",NA
105849,"Agnès LE BRUN","Agnès","LE BRUN","https://www.europarl.europa.eu/mepphoto/105849.jpg",FALSE,"1961-12-28T00:00:00","Chaumont en Vexin","7","2011-01-01T00:00:00","2014-06-30T00:00:00",NA
5537,"Juan Andrés NARANJO ESCOBAR","Juan Andrés","NARANJO ESCOBAR","https://www.europarl.europa.eu/mepphoto/5537.jpg",FALSE,"1952-01-04T00:00:00","Ciudad Real","5-6-7","1999-09-20T00:00:00","2014-06-30T00:00:00","Graduate in humanities (Spanish), Complutense University, Madrid (1976). Post-graduate diploma from the Institute of Education, Complutense University (1977). Master's in sociology and human resources, Pontificia University (1982)."
111017,"Dolores GARCÍA-HIERRO CARABALLO","Dolores","GARCÍA-HIERRO CARABALLO","https://www.europarl.europa.eu/mepphoto/111017.jpg",FALSE,"1958-05-16T00:00:00","Urda (Toledo)","7","2011-12-01T00:00:00","2014-06-30T00:00:00",NA
111018,"Salvador SEDÓ i ALABART","Salvador","SEDÓ i ALABART","https://www.europarl.europa.eu/mepphoto/111018.jpg",FALSE,"1969-04-03T00:00:00","Reus","7-7","2011-12-01T00:00:00","2014-06-30T00:00:00","Technical and industrial engineering, specialising in mechanics, at the Polytechnic University of Catalonia. Postgraduate in Leadership and Public Sector Management at the IESE Business School."
111019,"Eva ORTIZ VILELLA","Eva","ORTIZ VILELLA","https://www.europarl.europa.eu/mepphoto/111019.jpg",FALSE,"1975-10-16T00:00:00","Orihuela","7","2011-12-01T00:00:00","2014-06-30T00:00:00","Economics studies (University of Alicante)"
96946,"Daniël van der STOEP","Daniël","van der STOEP","https://www.europarl.europa.eu/mepphoto/96946.jpg",FALSE,"1980-09-12T00:00:00","Delft","7-7-7-7","2009-07-14T00:00:00","2014-06-30T00:00:00","Master's in International and European Law, political option, University of Leiden."
124782,"Maurizio Enzo LUPI","Maurizio Enzo","LUPI","http://www.europarl.europa.eu/mepphoto/124782.jpg",FALSE,NA,NA,"NULL-NULL","2014-07-01T00:00:00","2014-07-02T00:00:00",NA
2131,"Monica Stefania BALDI","Monica Stefania","BALDI","https://www.europarl.europa.eu/mepphoto/2131.jpg",FALSE,"1959-04-26T00:00:00","Pistoia","4","1994-07-19T00:00:00","1999-07-19T00:00:00",NA
4388,"Alima BOUMEDIENE-THIERY","Alima","BOUMEDIENE-THIERY","https://www.europarl.europa.eu/mepphoto/4388.jpg",FALSE,"1956-07-24T00:00:00","Argenteuil","5","1999-07-20T00:00:00","2004-07-19T00:00:00",NA
41003,"Giuseppe BOVA","Giuseppe","BOVA","https://www.europarl.europa.eu/mepphoto/41003.jpg",FALSE,"1943-10-29T00:00:00",NA,"6","2008-05-16T00:00:00","2008-06-16T00:00:00",NA
941,"Ursula BRAUN-MOSER","Ursula","BRAUN-MOSER","https://www.europarl.europa.eu/mepphoto/941.jpg",FALSE,"1937-05-25T00:00:00","Frankfurt a. M.","2-3","1984-07-24T00:00:00","1994-07-18T00:00:00",NA
2195,"Ombretta COLLI","Ombretta","COLLI","https://www.europarl.europa.eu/mepphoto/2195.jpg",FALSE,"1943-09-21T00:00:00","Genova","4","1994-07-19T00:00:00","1999-07-19T00:00:00",NA
110984,"Joseph CUSCHIERI","Joseph","CUSCHIERI","https://www.europarl.europa.eu/mepphoto/110984.jpg",FALSE,"1968-02-20T00:00:00","Attard","7","2011-12-01T00:00:00","2014-06-30T00:00:00",NA
