FullName;CRE;WDECL;COMPARL;REPORT;REPORT_SHADOW;COMPARL_SHADOW;MOTION;OQ;WEXP;WQ;MINT;IMOTION;PRUNACT
Charles GOERENS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Jean-Marie LE PEN;107;0;0;0;0;0;1;7;43;11;0;5;0
Reimer BÖGE;175;0;19;110;0;0;2;7;0;9;0;0;0
Karl-Heinz FLORENZ;163;3;0;48;0;0;1;11;0;14;1;0;0
Godelieve QUISTHOUDT-ROWOHL;83;0;10;24;0;0;7;3;0;10;0;0;0
Bruno GOLLNISCH;1481;17;0;0;0;0;1;7;221;19;0;8;0
Michèle ALLIOT-MARIE;27;0;0;0;0;0;36;1;0;11;0;0;0
Viviane REDING;17;0;0;5;0;0;2;4;0;14;0;0;0
Alain LAMASSOURE;153;8;6;24;0;0;1;6;0;18;0;1;0
Elmar BROK;880;9;9;99;0;0;221;3;2;7;0;0;0
James NICHOLSON;633;12;6;17;0;0;13;2;0;14;0;0;0
Miguel ARIAS CAÑETE;128;0;0;10;0;0;0;0;0;0;0;0;0
David MARTIN;5094;14;22;27;0;0;79;5;29;58;0;0;0
Gérard DEPREZ;498;13;53;48;0;0;370;17;137;49;1;0;0
Emmanouil GLEZOS;55;0;0;0;0;0;15;2;0;25;0;0;0
Marianne THYSSEN;530;2;1;23;0;0;0;0;0;1;0;0;0
Sylvia-Yvonne KAUFMANN;1347;6;7;14;0;0;14;8;2;3;0;0;0
Dieter-Lebrecht KOCH;134;8;0;17;0;0;0;7;5;8;0;0;0
Constanze KREHL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Carlos COELHO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bernd LANGE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Martin SCHULZ;1920;4;0;6;0;0;0;0;0;0;0;0;0
Evelyne GEBHARDT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Markus FERBER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Thomas MANN;550;13;11;10;0;0;75;2;3;4;0;0;0
Peter LIESE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Werner LANGEN;371;0;19;62;0;0;8;3;0;61;0;0;0
Annemie NEYTS-UYTTEBROECK;167;2;4;4;0;0;6;0;0;0;0;0;0
Pervenche BERÈS;817;1;41;74;0;0;12;3;0;12;0;0;0
José Ignacio SALAFRANCA SÁNCHEZ-NEYRA;655;0;14;23;0;0;142;0;2;45;0;0;0
Françoise GROSSETÊTE;1081;31;8;31;0;0;14;10;117;87;0;0;0
Heidi HAUTALA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Richard HOWITT;738;18;4;15;0;0;173;1;0;24;0;0;0
Brian CROWLEY;722;0;0;12;0;0;0;0;0;33;0;0;0
Olli REHN;30;0;2;0;0;0;1;0;0;3;0;0;0
Paavo VÄYRYNEN;150;1;3;3;0;0;110;5;34;14;0;0;0
Antonio TAJANI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Paul RÜBIG;1448;4;25;34;0;0;12;8;0;37;1;0;0
Richard CORBETT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Rainer WIELAND;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Linda McAVAN;278;13;7;9;0;0;41;22;0;10;0;0;0
Ian HUDGHTON;1152;4;3;11;0;0;2;0;2;47;0;0;0
Michael GAHLER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Othmar KARAS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Frédérique RIES;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Jo LEINEN;429;23;7;40;0;0;26;16;0;13;0;1;0
Udo BULLMANN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Marit PAULSEN;379;6;0;38;0;0;0;2;0;1;0;1;0
Renate SOMMER;229;8;2;14;0;0;18;19;0;25;1;0;0
