FullName;Country;Party;EPG;Start;End;vote1;vote2;vote3
Charles GOERENS;Luxembourg;Parti démocratique;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Jean-Marie LE PEN;France;Front national;Non-attached Members;01.07.2014;31 12 2019;5;1;2
Reimer BÖGE;Germany;Christlich Demokratische Union Deutschlands;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Karl-Heinz FLORENZ;Germany;Christlich Demokratische Union Deutschlands;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;5;5
Godelieve QUISTHOUDT-ROWOHL;Germany;Christlich Demokratische Union Deutschlands;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Bruno GOLLNISCH;France;Front national;Non-attached Members;01.07.2014;31 12 2019;5;1;2
Michèle ALLIOT-MARIE;France;Les Républicains;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Viviane REDING;Luxembourg;Parti chrétien social luxembourgeois;Non-attached Members;01.07.2014;01 09 2018;1;5;5
Alain LAMASSOURE;France;Indépendant;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;4;4;4
Elmar BROK;Germany;Christlich Demokratische Union Deutschlands;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;5;5
James NICHOLSON;United Kingdom;Ulster Unionist Party;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;2;2
Miguel ARIAS CAÑETE;Spain;Partido Popular;Non-attached Members;01.07.2014;31 10 2014;1;2;2
David MARTIN;United Kingdom;Labour Party;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Gérard DEPREZ;Belgium;Mouvement Réformateur;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Emmanouil GLEZOS;Greece;Coalition of the Radical Left;Non-attached Members;01.07.2014;08 07 2015;2;5;5
Marianne THYSSEN;Belgium;Christen-Democratisch & Vlaams;Non-attached Members;01.07.2014;31 10 2014;1;2;2
Sylvia-Yvonne KAUFMANN;Germany;Sozialdemokratische Partei Deutschlands;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Dieter-Lebrecht KOCH;Germany;Christlich Demokratische Union Deutschlands;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Constanze KREHL;Germany;Sozialdemokratische Partei Deutschlands;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;5;2;2
Carlos COELHO;Portugal;Partido Social Democrata;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Bernd LANGE;Germany;Sozialdemokratische Partei Deutschlands;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Martin SCHULZ;Germany;Sozialdemokratische Partei Deutschlands;Non-attached Members;01.07.2014;10 02 2017;1;5;5
Evelyne GEBHARDT;Germany;Sozialdemokratische Partei Deutschlands;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Markus FERBER;Germany;Christlich-Soziale Union in Bayern e.V.;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Thomas MANN;Germany;Christlich Demokratische Union Deutschlands;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;3;2;2
Peter LIESE;Germany;Christlich Demokratische Union Deutschlands;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;5;2;2
Werner LANGEN;Germany;Christlich Demokratische Union Deutschlands;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Annemie NEYTS-UYTTEBROECK;Belgium;Open Vlaamse Liberalen en Democraten;Non-attached Members;01.07.2014;31 12 2014;1;2;2
Pervenche BERÈS;France;Parti socialiste;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;5;2;2
José Ignacio SALAFRANCA SÁNCHEZ-NEYRA;Spain;Partido Popular;Group of the European People's Party (Christian Democrats);03.01.2017;31 12 2019;0;0;0
Françoise GROSSETÊTE;France;Les Républicains;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Heidi HAUTALA;Finland;Vihreä liitto;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;3;2;1
Richard HOWITT;United Kingdom;Labour Party;Non-attached Members;01.07.2014;01 11 2016;1;2;2
Brian CROWLEY;Ireland;Fianna Fáil Party;European Conservatives and Reformists Group;01.07.2014;31 12 2019;6;6;6
Olli REHN;Finland;Suomen Keskusta;Non-attached Members;01.07.2014;26 04 2015;1;5;5
Paavo VÄYRYNEN;Finland;Suomen Keskusta;Non-attached Members;01.07.2014;11 06 2018;1;2;2
Antonio TAJANI;Italy;Forza Italia;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;5;5
Paul RÜBIG;Austria;Österreichische Volkspartei;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Richard CORBETT;United Kingdom;Labour Party;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Rainer WIELAND;Germany;Christlich Demokratische Union Deutschlands;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;5;5
Linda McAVAN;United Kingdom;Labour Party;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Ian HUDGHTON;United Kingdom;Scottish National Party;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;5;2;1
Michael GAHLER;Germany;Christlich Demokratische Union Deutschlands;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Othmar KARAS;Austria;Österreichische Volkspartei;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Frédérique RIES;Belgium;Mouvement Réformateur;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;5;2;2
Jo LEINEN;Germany;Sozialdemokratische Partei Deutschlands;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Udo BULLMANN;Germany;Sozialdemokratische Partei Deutschlands;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;4;4;4
Marit PAULSEN;Sweden;Folkpartiet liberalerna;Non-attached Members;01.07.2014;29 09 2015;5;2;2
Renate SOMMER;Germany;Christlich Demokratische Union Deutschlands;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;5;2;2
Angelika NIEBLER;Germany;Christlich-Soziale Union in Bayern e.V.;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Pilar AYUSO;Spain;Partido Popular;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Elena VALENCIANO;Spain;Partido Socialista Obrero Español;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;4;4;4
Marielle DE SARNEZ;France;Mouvement Démocrate;Non-attached Members;01.07.2014;17 05 2017;1;2;2
Thierry CORNILLET;France;Mouvement Radical;Group of the Alliance of Liberals and Democrats for Europe;18.05.2017;31 12 2019;0;0;0
Tokia SAÏFI;France;Agir - La Droite constructive;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Claude TURMES;Luxembourg;Déi Gréng - Les Verts;Non-attached Members;01.07.2014;19 06 2018;3;2;1
Gianni PITTELLA;Italy;Partito Democratico;Non-attached Members;01.07.2014;22 03 2018;1;5;5
Raffaele FITTO;Italy;Conservatori e Riformisti;European Conservatives and Reformists Group;01.07.2014;31 12 2019;1;2;2
Bas BELDER;Netherlands;Staatkundig Gereformeerde Partij;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;2;2
Geoffrey VAN ORDEN;United Kingdom;Conservative Party;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;2;2
Roger HELMER;United Kingdom;United Kingdom Independence Party;Non-attached Members;01.07.2014;31 07 2017;2;1;1
Claude MORAES;United Kingdom;Labour Party;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Timothy Charles Ayrton TANNOCK;United Kingdom;Conservative Party;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;2;2
Nigel FARAGE;United Kingdom;United Kingdom Independence Party;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;2;1;1
Jean LAMBERT;United Kingdom;Green Party;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;3;2;1
Neena GILL;United Kingdom;Labour Party;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Philip BRADBOURN;United Kingdom;Conservative Party;Non-attached Members;01.07.2014;20 12 2014;2;5;5
Timothy KIRKHOPE;United Kingdom;Conservative Party;Non-attached Members;01.07.2014;05 10 2016;2;2;2
