FullName;title;Photo;birthdate;birthplace;Gender
Charles GOERENS;NA;https://www.europarl.europa.eu/mepphoto/840.jpg;06.02.1952;Ettelbruck;M
Jean-Marie LE PEN;NA;https://www.europarl.europa.eu/mepphoto/1023.jpg;20.06.1928;La Trinité-sur-Mer (Morbihan);M
Reimer BÖGE;NA;https://www.europarl.europa.eu/mepphoto/1037.jpg;18.12.1951;Hasenmoor;M
Karl-Heinz FLORENZ;NA;https://www.europarl.europa.eu/mepphoto/1038.jpg;22.10.1947;Neukirchen-Vluyn;M
Godelieve QUISTHOUDT-ROWOHL;NA;https://www.europarl.europa.eu/mepphoto/1055.jpg;18.06.1947;Etterbeek (Belgien);F
Bruno GOLLNISCH;NA;https://www.europarl.europa.eu/mepphoto/1164.jpg;28.01.1950;Neuilly-sur-Seine;M
Michèle ALLIOT-MARIE;NA;https://www.europarl.europa.eu/mepphoto/1179.jpg;10.09.1946;Villeneuve le Roi;F
Viviane REDING;NA;https://www.europarl.europa.eu/mepphoto/1185.jpg;27.04.1951;Esch-sur-Alzette;F
Alain LAMASSOURE;NA;https://www.europarl.europa.eu/mepphoto/1204.jpg;10.02.1944;Pau;M
Elmar BROK;NA;https://www.europarl.europa.eu/mepphoto/1263.jpg;14.05.1946;Verl (Kr. Gütersloh);M
James NICHOLSON;NA;https://www.europarl.europa.eu/mepphoto/1318.jpg;29.01.1945;NA;M
Miguel ARIAS CAÑETE;NA;https://www.europarl.europa.eu/mepphoto/1351.jpg;24.02.1950;Madrid;M
David MARTIN;NA;https://www.europarl.europa.eu/mepphoto/1403.jpg;26.08.1954;Edinburgh;M
Gérard DEPREZ;NA;https://www.europarl.europa.eu/mepphoto/1473.jpg;13.08.1943;Noville-Bastogne;M
Emmanouil GLEZOS;NA;https://www.europarl.europa.eu/mepphoto/1654.jpg;28.08.1922;Aperathu Naxos;M
Marianne THYSSEN;NA;https://www.europarl.europa.eu/mepphoto/1832.jpg;24.07.1956;Sint-Gillis-Waas;F
Sylvia-Yvonne KAUFMANN;NA;https://www.europarl.europa.eu/mepphoto/1849.jpg;23.01.1955;Berlin;F
Dieter-Lebrecht KOCH;NA;https://www.europarl.europa.eu/mepphoto/1852.jpg;07.01.1953;NA;M
Constanze KREHL;NA;https://www.europarl.europa.eu/mepphoto/1854.jpg;14.10.1956;Stuttgart;F
Carlos COELHO;NA;https://www.europarl.europa.eu/mepphoto/1892.jpg;20.05.1960;Lisboa;M
Bernd LANGE;NA;https://www.europarl.europa.eu/mepphoto/1909.jpg;14.11.1955;Oldenburg;M
Martin SCHULZ;NA;https://www.europarl.europa.eu/mepphoto/1911.jpg;20.12.1955;Hehlrath;M
Evelyne GEBHARDT;NA;https://www.europarl.europa.eu/mepphoto/1913.jpg;19.01.1954;Montreuil-sous-Bois (France);F
Markus FERBER;NA;https://www.europarl.europa.eu/mepphoto/1917.jpg;15.01.1965;Augsburg;M
Thomas MANN;NA;https://www.europarl.europa.eu/mepphoto/1922.jpg;28.01.1946;Naumburg/Saale;M
Peter LIESE;NA;https://www.europarl.europa.eu/mepphoto/1927.jpg;20.05.1965;Meschede;M
Werner LANGEN;NA;https://www.europarl.europa.eu/mepphoto/1928.jpg;27.11.1949;Müden/Mosel;M
Annemie NEYTS-UYTTEBROECK;NA;https://www.europarl.europa.eu/mepphoto/1946.jpg;17.06.1944;Elsene;NA
Pervenche BERÈS;NA;https://www.europarl.europa.eu/mepphoto/1985.jpg;10.03.1957;Neully-sur-Seine;F
José Ignacio SALAFRANCA SÁNCHEZ-NEYRA;NA;https://www.europarl.europa.eu/mepphoto/2002.jpg;31.05.1955;Madrid;M
Françoise GROSSETÊTE;NA;https://www.europarl.europa.eu/mepphoto/2025.jpg;17.05.1946;Lyon;F
Heidi HAUTALA;NA;https://www.europarl.europa.eu/mepphoto/2054.jpg;14.11.1955;Oulu;F
Richard HOWITT;NA;https://www.europarl.europa.eu/mepphoto/2073.jpg;05.04.1961;Reading;M
Brian CROWLEY;NA;https://www.europarl.europa.eu/mepphoto/2109.jpg;04.03.1964;Dublin;M
Olli REHN;NA;https://www.europarl.europa.eu/mepphoto/2119.jpg;31.03.1962;Mikkeli;M
Paavo VÄYRYNEN;NA;https://www.europarl.europa.eu/mepphoto/2128.jpg;02.09.1946;Kemin maalaiskunta;M
Antonio TAJANI;NA;https://www.europarl.europa.eu/mepphoto/2187.jpg;04.08.1953;Roma;M
Paul RÜBIG;NA;https://www.europarl.europa.eu/mepphoto/2278.jpg;06.05.1953;Wels;M
